2024-01-07 21:33:03.293 [restartedMain] INFO  c.example.oauth21.Oauth21Application - Starting Oauth21Application using Java 17.0.6 with PID 6745 (/Users/kevin/Documents/study_workspace/oauth21/target/classes started by kevin in /Users/kevin/Documents/study_workspace/oauth21)
2024-01-07 21:33:03.297 [restartedMain] INFO  c.example.oauth21.Oauth21Application - The following 1 profile is active: "dev"
2024-01-07 21:33:03.322 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-01-07 21:33:03.323 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-01-07 21:33:03.721 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-01-07 21:33:03.722 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-01-07 21:33:03.740 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2024-01-07 21:33:04.092 [restartedMain] WARN  io.undertow.websockets.jsr - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2024-01-07 21:33:04.102 [restartedMain] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2024-01-07 21:33:04.102 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 779 ms
2024-01-07 21:33:04.288 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-01-07 21:33:04.456 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@591d3077
2024-01-07 21:33:04.457 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-01-07 21:33:04.730 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure org.springframework.security.oauth2.server.authorization.config.annotation.web.configurers.OAuth2AuthorizationServerConfigurer$$Lambda$1015/0x0000000801202460@21904332 with [org.springframework.security.web.session.DisableEncodeUrlFilter@695ea8ca, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5b0fec6d, org.springframework.security.web.context.SecurityContextHolderFilter@1805069c, org.springframework.security.oauth2.server.authorization.config.annotation.web.configurers.AuthorizationServerContextFilter@66ecff0e, org.springframework.security.web.header.HeaderWriterFilter@496ea703, org.springframework.web.filter.CorsFilter@5814052e, org.springframework.security.web.csrf.CsrfFilter@437c9692, org.springframework.security.oauth2.server.authorization.oidc.web.OidcLogoutEndpointFilter@4dcd6587, org.springframework.security.web.authentication.logout.LogoutFilter@4edb6411, org.springframework.security.oauth2.server.authorization.web.OAuth2AuthorizationServerMetadataEndpointFilter@735e4cdf, org.springframework.security.oauth2.server.authorization.web.OAuth2AuthorizationEndpointFilter@85066d6, org.springframework.security.oauth2.server.authorization.web.OAuth2DeviceVerificationEndpointFilter@3a0ad5a5, org.springframework.security.oauth2.server.authorization.oidc.web.OidcProviderConfigurationEndpointFilter@60b1dcac, org.springframework.security.oauth2.server.authorization.web.NimbusJwkSetEndpointFilter@2228339b, org.springframework.security.oauth2.server.authorization.web.OAuth2ClientAuthenticationFilter@574815a9, org.springframework.security.oauth2.server.resource.web.authentication.BearerTokenAuthenticationFilter@6368ab6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@75a0e910, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@e8fff07, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7bbe44cd, org.springframework.security.web.access.ExceptionTranslationFilter@2850edec, org.springframework.security.web.access.intercept.AuthorizationFilter@18a8d47a, org.springframework.security.oauth2.server.authorization.web.OAuth2TokenEndpointFilter@413b96f2, org.springframework.security.oauth2.server.authorization.web.OAuth2TokenIntrospectionEndpointFilter@1a81bedb, org.springframework.security.oauth2.server.authorization.web.OAuth2TokenRevocationEndpointFilter@76d720e0, org.springframework.security.oauth2.server.authorization.web.OAuth2DeviceAuthorizationEndpointFilter@75091642, org.springframework.security.oauth2.server.authorization.oidc.web.OidcUserInfoEndpointFilter@6b33f5a9]
2024-01-07 21:33:04.753 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2171d4c7, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@685a884e, org.springframework.security.web.context.SecurityContextHolderFilter@21f02da, org.springframework.security.web.header.HeaderWriterFilter@7236e7c, org.springframework.web.filter.CorsFilter@48319f68, org.springframework.security.web.csrf.CsrfFilter@10353807, org.springframework.security.web.authentication.logout.LogoutFilter@17bb3351, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@5060bf73, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@505d8df5, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@494049b2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3bd3e79e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@71042532, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@74bf81be, org.springframework.security.web.access.ExceptionTranslationFilter@759b89e, org.springframework.security.web.access.intercept.AuthorizationFilter@638d57c6]
2024-01-07 21:33:05.019 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-01-07 21:33:05.035 [restartedMain] INFO  io.undertow - starting server: Undertow - 2.3.10.Final
2024-01-07 21:33:05.040 [restartedMain] INFO  org.xnio - XNIO version 3.8.8.Final
2024-01-07 21:33:05.045 [restartedMain] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.8.8.Final
2024-01-07 21:33:05.060 [restartedMain] INFO  org.jboss.threads - JBoss Threads version 3.5.0.Final
2024-01-07 21:33:05.079 [restartedMain] INFO  o.s.b.w.e.undertow.UndertowWebServer - Undertow started on port 9000 (http)
2024-01-07 21:33:05.085 [restartedMain] INFO  c.example.oauth21.Oauth21Application - Started Oauth21Application in 2.038 seconds (process running for 2.825)
2024-01-07 21:39:44.437 [SpringApplicationShutdownHook] INFO  io.undertow - stopping server: Undertow - 2.3.10.Final
2024-01-07 21:39:44.450 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-01-07 21:39:44.453 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
